"14jt -- Varhaiskasvatukseen osallistuneet vieraskieliset ja ulkomaalaiset lapset alueen ja iän mukaan, 2021-2024"

"Vuosi";"Alue";"Ikä";"Varhaiskasvatukseen osallistuneet lapset";"Vieraskieliset varhaiskasvatukseen osallistuneet lapset"
"2024";"Vieremä";"Yhteensä";81;6
"2024";"Vihti";"Yhteensä";1290;116
"2024";"Viitasaari";"Yhteensä";150;4
"2024";"Vimpeli";"Yhteensä";0;0
"2024";"Virolahti";"Yhteensä";72;2
"2024";"Virrat";"Yhteensä";187;13
"2024";"Vöyri";"Yhteensä";280;35
"2024";"Ylitornio";"Yhteensä";101;10
"2024";"Ylivieska";"Yhteensä";767;14
"2024";"Ylöjärvi";"Yhteensä";1884;51
"2024";"Ypäjä";"Yhteensä";65;6
"2024";"Ähtäri";"Yhteensä";170;10
"2024";"Äänekoski";"Yhteensä";587;21
